Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,185.7375,-46.0375,0.0,bottom
C2,100nF,C_0402_1005Metric,183.67,-60.325,0.0,bottom
C3,100nF,C_0402_1005Metric,198.12375,-57.35,180.0,bottom
C4,100nF,C_0402_1005Metric,196.05625,-51.59375,90.0,bottom
C5,100nF,C_0402_1005Metric,184.15,-51.59375,90.0,bottom
C6,100nF,C_0402_1005Metric,195.0625,-51.59375,90.0,bottom
C7,10uF,C_0402_1005Metric,182.929419,-51.59375,90.0,bottom
C8,100nF,C_0402_1005Metric,198.12375,-56.35625,180.0,bottom
C9,1uF,C_0402_1005Metric,175.41875,-51.59375,270.0,bottom
C10,1uF,C_0402_1005Metric,181.76875,-51.59375,90.0,bottom
C11,100nF,C_0402_1005Metric,160.7375,-92.86875,90.0,bottom
D1,D_Small,D_SOD-123F,55.959995,-37.866714,95.0,bottom
D2,D_Small,D_SOD-123F,79.681881,-39.94211,95.0,bottom
D3,D_Small,D_SOD-123F,98.65939,-41.602427,95.0,bottom
D4,D_Small,D_SOD-123F,117.636899,-43.262744,95.0,bottom
D5,D_Small,D_SOD-123F,136.614408,-44.923061,95.0,bottom
D6,D_Small,D_SOD-123F,155.591917,-46.583378,95.0,bottom
D7,D_Small,D_SOD-123F,217.013423,-45.644242,85.0,bottom
D8,D_Small,D_SOD-123F,235.990932,-43.983925,85.0,bottom
D9,D_Small,D_SOD-123F,254.968441,-42.323608,85.0,bottom
D10,D_Small,D_SOD-123F,273.94595,-40.663291,85.0,bottom
D11,D_Small,D_SOD-123F,292.923459,-39.002975,85.0,bottom
D12,D_Small,D_SOD-123F,319.017534,-36.720039,85.0,bottom
D13,D_Small,D_SOD-123F,56.671867,-57.051762,95.0,bottom
D14,D_Small,D_SOD-123F,82.765941,-59.334698,95.0,bottom
D15,D_Small,D_SOD-123F,101.74345,-60.995015,95.0,bottom
D16,D_Small,D_SOD-123F,120.720959,-62.655332,95.0,bottom
D17,D_Small,D_SOD-123F,139.698468,-64.315649,95.0,bottom
D18,D_Small,D_SOD-123F,158.675977,-65.975966,95.0,bottom
D19,D_Small,D_SOD-123F,223.418118,-64.206672,85.0,bottom
D20,D_Small,D_SOD-123F,242.395627,-62.546355,85.0,bottom
D21,D_Small,D_SOD-123F,261.373136,-60.886038,85.0,bottom
D22,D_Small,D_SOD-123F,280.350645,-59.225721,85.0,bottom
D23,D_Small,D_SOD-123F,299.328154,-57.565404,85.0,bottom
D24,D_Small,D_SOD-123F,323.05004,-55.490008,85.0,bottom
D25,D_Small,D_SOD-123F,59.755927,-76.444351,95.0,bottom
D26,D_Small,D_SOD-123F,90.594379,-79.142366,95.0,bottom
D27,D_Small,D_SOD-123F,109.571888,-80.802683,95.0,bottom
D28,D_Small,D_SOD-123F,128.549397,-82.462999,95.0,bottom
D29,D_Small,D_SOD-123F,147.526906,-84.123316,95.0,bottom
D30,D_Small,D_SOD-123F,166.504415,-85.783633,95.0,bottom
D31,D_Small,D_SOD-123F,215.58968,-84.014339,85.0,bottom
D32,D_Small,D_SOD-123F,234.567189,-82.354023,85.0,bottom
D33,D_Small,D_SOD-123F,253.544698,-80.693706,85.0,bottom
D34,D_Small,D_SOD-123F,272.522207,-79.033389,85.0,bottom
D35,D_Small,D_SOD-123F,291.499716,-77.373072,85.0,bottom
D36,D_Small,D_SOD-123F,310.477225,-75.712755,85.0,bottom
D37,D_Small,D_SOD-123F,50.979044,-94.799241,95.0,bottom
D38,D_Small,D_SOD-123F,74.70093,-96.874637,95.0,bottom
D39,D_Small,D_SOD-123F,98.422817,-98.950033,95.0,bottom
D40,D_Small,D_SOD-123F,138.750023,-102.478206,95.0,bottom
D41,D_Small,D_SOD-123F,189.70625,-73.025,90.0,bottom
D42,D_Small,D_SOD-123F,238.125,-101.539071,85.0,bottom
D43,D_Small,D_SOD-123F,271.4625,-98.425,85.0,bottom
D44,D_Small,D_SOD-123F,293.160033,-96.350581,85.0,bottom
D45,D_Small,D_SOD-123F,312.137542,-94.690264,85.0,bottom
D46,D_Small,D_SOD-123F,315.11875,-94.45625,85.0,bottom
D47,D_Small,D_SOD-123F,313.53125,-75.40625,85.0,bottom
D48,D_Small,D_SOD-123F,190.0485,-101.3725,90.0,bottom
F1,500mA,Fuse_1206_3216Metric,185.7375,-44.45,180.0,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,180.975,-38.76625,180.0,bottom
J4,Pico EZmate,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,170.65625,-52.3875,180.0,bottom
LED1,YS-SK6812MINI-E,YS-SK6812MINI-E,163.5125,-99.21875,180.0,bottom
LED2,YS-SK6812MINI-E,YS-SK6812MINI-E,198.4375,-99.21875,180.0,bottom
R1,5.1k,R_0402_1005Metric,172.75375,-39.6875,180.0,bottom
R2,5.1k,R_0402_1005Metric,189.19625,-39.6875,180.0,bottom
R3,10k,R_0402_1005Metric,188.9125,-44.45,90.0,bottom
SW2,SW_push,SW_Push_SPST_NO_Alps_SKRK,192.88125,-44.45,0.0,bottom
U1,STM32F072CBTx,LQFP-48_7x7mm_P0.5mm,189.70625,-56.35625,0.0,bottom
U2,PRTR5V0U2X,SOT-143,180.975,-45.24375,180.0,bottom
U3,XC6206PxxxMR-Regulator_Linear,SOT-23,178.59375,-51.59375,0.0,bottom
U4,74AHCT1G125,TSOT-23-5,163.5125,-92.86875,0.0,bottom
