Comment,Designator,Footprint,LCSC
74AHCT1G125,U4,TSOT-23-5,C12494
500mA,F1,Fuse_1206_3216Metric,C135341
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
10k,R3,R_0402_1005Metric,C269674
PRTR5V0U2X,U2,SOT-143,C2827688
100nF,"C1,C11,C2,C3,C4,C5,C6,C8",C_0402_1005Metric,C307331
5.1k,"R1,R2",R_0402_1005Metric,C325524
10uF,C7,C_0402_1005Metric,C466623
YS-SK6812MINI-E,"LED1,LED2",YS-SK6812MINI-E,C5149201
1uF,"C10,C9",C_0402_1005Metric,C52923
XC6206PxxxMR-Regulator_Linear,U3,SOT-23,C5446
SW_push,SW2,SW_Push_SPST_NO_Alps_SKRK,C561519
Pico EZmate,J4,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,C588524
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D5,D6,D7,D8,D9",D_SOD-123F,C81598
STM32F072CBTx,U1,LQFP-48_7x7mm_P0.5mm,C81720
